mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,scenario
1.2471889019012452,0.09036555872531966,0.047791147232055665,0.01609918895756121,0.5,,scale,rbf,"{'model__C': 0.5, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.9793103448275862,0.993006993006993,0.9726027397260274,0.9577464788732394,0.9929078014184397,0.9791148715704571,0.013283751196215818,11,cross_ipvs_to_mdvr_kcl
1.187312698364258,0.05791443202593892,0.05334386825561523,0.038580105304190475,0.5,,auto,rbf,"{'model__C': 0.5, 'model__class_weight': None, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.9793103448275862,0.993006993006993,0.9726027397260274,0.9577464788732394,0.9929078014184397,0.9791148715704571,0.013283751196215818,11,cross_ipvs_to_mdvr_kcl
1.1120696544647217,0.1361720785692078,0.055008220672607425,0.03714801523741862,0.5,balanced,scale,rbf,"{'model__C': 0.5, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.9793103448275862,0.9859154929577465,0.9793103448275862,0.9645390070921985,0.9929078014184397,0.9803965982247114,0.009389478088164037,9,cross_ipvs_to_mdvr_kcl
0.8813182830810546,0.34238896730391744,0.045092010498046876,0.030315370693858836,0.5,balanced,auto,rbf,"{'model__C': 0.5, 'model__class_weight': 'balanced', 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.9793103448275862,0.9859154929577465,0.9793103448275862,0.9645390070921985,0.9929078014184397,0.9803965982247114,0.009389478088164037,9,cross_ipvs_to_mdvr_kcl
0.5220178604125977,0.0268268611231944,0.041851139068603514,0.017972270513283355,1.0,,scale,rbf,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.993103448275862,1.0,0.993006993006993,0.9861111111111112,0.9929078014184397,0.9930258707624813,0.004392554943721631,5,cross_ipvs_to_mdvr_kcl
0.3583362102508545,0.1757897239731936,0.052273893356323244,0.03802208569501191,1.0,,auto,rbf,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.993103448275862,1.0,0.993006993006993,0.9861111111111112,0.9929078014184397,0.9930258707624813,0.004392554943721631,5,cross_ipvs_to_mdvr_kcl
0.547437047958374,0.06565403688736327,0.05235590934753418,0.02635017191790046,1.0,balanced,scale,rbf,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.993103448275862,1.0,0.993006993006993,0.9861111111111112,0.9929078014184397,0.9930258707624813,0.004392554943721631,5,cross_ipvs_to_mdvr_kcl
0.2491847515106201,0.0986041434412812,0.022036027908325196,0.0031185230581663964,1.0,balanced,auto,rbf,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.993103448275862,1.0,0.993006993006993,0.9861111111111112,0.9929078014184397,0.9930258707624813,0.004392554943721631,5,cross_ipvs_to_mdvr_kcl
0.3795023918151855,0.1374699787874211,0.01989755630493164,0.0020055303531884743,5.0,,scale,rbf,"{'model__C': 5.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.993103448275862,1.0,0.993006993006993,1.0,1.0,0.9972220882565711,0.003402369886316044,1,cross_ipvs_to_mdvr_kcl
0.3722182273864746,0.1053595314676945,0.017818117141723634,0.002027126151810705,5.0,,auto,rbf,"{'model__C': 5.0, 'model__class_weight': None, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.993103448275862,1.0,0.993006993006993,1.0,1.0,0.9972220882565711,0.003402369886316044,1,cross_ipvs_to_mdvr_kcl
0.3431736946105957,0.11482030465699575,0.016380119323730468,0.002786290209602133,5.0,balanced,scale,rbf,"{'model__C': 5.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.993103448275862,1.0,0.993006993006993,1.0,1.0,0.9972220882565711,0.003402369886316044,1,cross_ipvs_to_mdvr_kcl
0.31513071060180664,0.051649944754729595,0.014135169982910156,0.003899926120524053,5.0,balanced,auto,rbf,"{'model__C': 5.0, 'model__class_weight': 'balanced', 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.993103448275862,1.0,0.993006993006993,1.0,1.0,0.9972220882565711,0.003402369886316044,1,cross_ipvs_to_mdvr_kcl
