scenario,model,split,evaluation_level,subset,n_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
single_mdvr_kcl,logreg,val,file,all,22,0.9090909090909091,0.9166666666666667,0.8333333333333334,1.0,0.9090909090909091,1.0,10,2,0,10
single_mdvr_kcl,logreg,val,file,mdvr-kcl,22,0.9090909090909091,0.9166666666666667,0.8333333333333334,1.0,0.9090909090909091,1.0,10,2,0,10
single_mdvr_kcl,logreg,val,patient,all,11,0.9090909090909091,0.9166666666666667,0.8333333333333334,1.0,0.9090909090909091,1.0,5,1,0,5
single_mdvr_kcl,logreg,val,patient,mdvr-kcl,11,0.9090909090909091,0.9166666666666667,0.8333333333333334,1.0,0.9090909090909091,1.0,5,1,0,5
single_mdvr_kcl,logreg,test,file,all,22,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,10
single_mdvr_kcl,logreg,test,file,mdvr-kcl,22,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,10
single_mdvr_kcl,logreg,test,patient,all,11,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,5
single_mdvr_kcl,logreg,test,patient,mdvr-kcl,11,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,5
single_mdvr_kcl,svm,val,file,all,22,0.6363636363636364,0.6666666666666666,0.5555555555555556,1.0,0.7142857142857143,1.0,4,8,0,10
single_mdvr_kcl,svm,val,file,mdvr-kcl,22,0.6363636363636364,0.6666666666666666,0.5555555555555556,1.0,0.7142857142857143,1.0,4,8,0,10
single_mdvr_kcl,svm,val,patient,all,11,0.6363636363636364,0.6666666666666666,0.5555555555555556,1.0,0.7142857142857143,1.0,2,4,0,5
single_mdvr_kcl,svm,val,patient,mdvr-kcl,11,0.6363636363636364,0.6666666666666666,0.5555555555555556,1.0,0.7142857142857143,1.0,2,4,0,5
single_mdvr_kcl,svm,test,file,all,22,0.9090909090909091,0.9166666666666667,0.8333333333333334,1.0,0.9090909090909091,1.0,10,2,0,10
single_mdvr_kcl,svm,test,file,mdvr-kcl,22,0.9090909090909091,0.9166666666666667,0.8333333333333334,1.0,0.9090909090909091,1.0,10,2,0,10
single_mdvr_kcl,svm,test,patient,all,11,0.9090909090909091,0.9166666666666667,0.8333333333333334,1.0,0.9090909090909091,1.0,5,1,0,5
single_mdvr_kcl,svm,test,patient,mdvr-kcl,11,0.9090909090909091,0.9166666666666667,0.8333333333333334,1.0,0.9090909090909091,1.0,5,1,0,5
single_mdvr_kcl,random_forest,val,file,all,22,0.8181818181818182,0.8333333333333333,0.7142857142857143,1.0,0.8333333333333334,1.0,8,4,0,10
single_mdvr_kcl,random_forest,val,file,mdvr-kcl,22,0.8181818181818182,0.8333333333333333,0.7142857142857143,1.0,0.8333333333333334,1.0,8,4,0,10
single_mdvr_kcl,random_forest,val,patient,all,11,0.8181818181818182,0.8333333333333333,0.7142857142857143,1.0,0.8333333333333334,1.0,4,2,0,5
single_mdvr_kcl,random_forest,val,patient,mdvr-kcl,11,0.8181818181818182,0.8333333333333333,0.7142857142857143,1.0,0.8333333333333334,1.0,4,2,0,5
single_mdvr_kcl,random_forest,test,file,all,22,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,10
single_mdvr_kcl,random_forest,test,file,mdvr-kcl,22,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,10
single_mdvr_kcl,random_forest,test,patient,all,11,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,5
single_mdvr_kcl,random_forest,test,patient,mdvr-kcl,11,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,5
