model,feature_group,n_scenarios,mean_importance_share,std_importance_share,mean_positive_importance_sum,mean_raw_importance_sum,model_label
logreg,Pitch / Voicing,10,0.12981530577073658,0.2748627912825109,0.035026596675890295,0.021471539393526373,Logistic Regression
logreg,Signal Statistics,10,0.1028954844282178,0.26414780571061874,0.006688670375683628,0.0029488070767093415,Logistic Regression
logreg,Chroma,10,0.09636190791256402,0.1334490112821492,0.020941932474831355,0.009185139116582926,Logistic Regression
logreg,Delta-Delta MFCC,10,0.0870158858422915,0.14766589809135203,0.018926364541687224,0.0014870377925208307,Logistic Regression
logreg,Delta MFCC,10,0.07952904324485635,0.10598557058974775,0.02005239442633014,0.006654104590492596,Logistic Regression
logreg,Spectral Contrast,10,0.05769998803026943,0.09071854697220334,0.015703440523994777,0.004640503652919143,Logistic Regression
logreg,MFCC,10,0.04928838912058495,0.08991444354370119,0.015854046411273224,0.004766051619718873,Logistic Regression
logreg,Energy / ZCR,10,0.04914547940578686,0.06878160379347201,0.013126554933365522,-0.0007118946243162269,Logistic Regression
logreg,Spectral Descriptors,10,0.04717395044098764,0.10763856341480718,0.010802270636863048,-0.007037518955983107,Logistic Regression
logreg,Perturbation / HNR,10,0.0010745658037048641,0.003398075435436772,0.0004648931086156642,-0.001335827666979489,Logistic Regression
random_forest,Pitch / Voicing,10,0.2018475197696207,0.37617727528226713,0.0016304406731288245,-0.0010311344602333497,Random Forest
random_forest,Energy / ZCR,10,0.062099008688685176,0.18249501796729461,0.004997765593908446,-0.002170397363972225,Random Forest
random_forest,Chroma,10,0.05416027391256486,0.09579128965358182,0.007656846205150225,-0.020546383028145543,Random Forest
random_forest,MFCC,10,0.053087369057394904,0.08559329082502734,0.005157940728498036,-0.02636762009378067,Random Forest
random_forest,Delta MFCC,10,0.04342218201617799,0.07686665899179851,0.00576704968127948,-0.025987816633244825,Random Forest
random_forest,Spectral Contrast,10,0.0364936803490025,0.08201959459857633,0.0038053219364174973,-0.009889138030736128,Random Forest
random_forest,Delta-Delta MFCC,10,0.0348157203389919,0.07415694456699773,0.004564638225285822,-0.02369339311903044,Random Forest
random_forest,Spectral Descriptors,10,0.00667028522211448,0.021093293944843897,0.0018772269798976871,-0.009043322262731466,Random Forest
random_forest,Perturbation / HNR,10,0.0051855371416379085,0.01093209375232494,0.0007676817761396245,-0.0020592602385710534,Random Forest
random_forest,Signal Statistics,10,0.0022184235038096014,0.007015271086889564,0.0006243337901629342,-0.0014711235078342505,Random Forest
svm,Signal Statistics,10,0.10431695932773018,0.31486743080745894,0.004200776299241989,0.004122794725367418,SVM
svm,MFCC,10,0.04283612182183505,0.09031981992824056,0.0588785053755145,0.05570933360257706,SVM
svm,Chroma,10,0.03804182684670426,0.08165963558618156,0.04563428915578328,0.033528763668909056,SVM
svm,Delta-Delta MFCC,10,0.0361021205197773,0.07740479734951594,0.05694811931779613,0.05532143829675199,SVM
svm,Spectral Contrast,10,0.030266009212548396,0.06424516932189882,0.038558322996742875,0.03765077211070559,SVM
svm,Delta MFCC,10,0.023809460788709276,0.05085285518291702,0.03701378121804396,0.033404700910899525,SVM
svm,Spectral Descriptors,10,0.012880837108884546,0.030143979653774248,0.024148797488813243,0.023839899603950866,SVM
svm,Energy / ZCR,10,0.007538281917677072,0.0158945304712232,0.010623646970503114,0.010093187958563938,SVM
svm,Pitch / Voicing,10,0.003926296690266085,0.010394806004944147,0.0024747751305240003,0.0006196302532921435,SVM
svm,Perturbation / HNR,10,0.00028208576586781606,0.0008920335156552827,7.646736855661715e-05,7.646736855661715e-05,SVM
