scenario,selected_model,final_fit_splits,n_train,n_val,n_test,patient_test_accuracy,patient_test_balanced_accuracy,patient_test_precision,patient_test_recall,patient_test_f1,patient_test_roc_auc,file_test_accuracy,file_test_balanced_accuracy,file_test_precision,file_test_recall,file_test_f1,file_test_roc_auc
combined_all,random_forest,"train,val",851,116,172,0.8709677419354839,0.8795454545454545,0.7692307692307693,0.9090909090909092,0.8333333333333334,0.95,0.9476744186046512,0.9433333333333334,0.941747572815534,0.97,0.955665024630542,0.9905555555555556
cross_ipvs_to_mdvr_kcl,random_forest,train,637,22,22,0.4545454545454545,0.5,0.4545454545454545,1.0,0.625,0.8333333333333334,0.4545454545454545,0.5,0.4545454545454545,1.0,0.625,0.8333333333333334
cross_ipvs_to_uams,logreg,train,637,24,26,0.4615384615384615,0.5625,0.4166666666666667,1.0,0.5882352941176471,0.575,0.4615384615384615,0.5625,0.4166666666666667,1.0,0.5882352941176471,0.575
cross_mdvr_kcl_to_ipvs,logreg,train,102,70,124,0.7142857142857143,0.8333333333333333,0.3333333333333333,1.0,0.5,0.6666666666666667,0.8629032258064516,0.8272727272727273,0.8539325842696629,0.95,0.8994082840236687,0.9005681818181819
cross_mdvr_kcl_to_uams,random_forest,train,102,24,26,0.4615384615384615,0.5625,0.4166666666666667,1.0,0.5882352941176471,0.3125,0.4615384615384615,0.5625,0.4166666666666667,1.0,0.5882352941176471,0.3125
cross_uams_to_ipvs,logreg,train,112,70,124,0.1428571428571428,0.5,0.1428571428571428,1.0,0.25,0.0,0.3548387096774194,0.290340909090909,0.5,0.5125,0.5061728395061729,0.2082386363636363
cross_uams_to_mdvr_kcl,random_forest,train,112,22,22,0.4545454545454545,0.5,0.4545454545454545,1.0,0.625,0.4333333333333333,0.4545454545454545,0.5,0.4545454545454545,1.0,0.625,0.4333333333333333
single_ipvs,logreg,"train,val",637,70,124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
single_mdvr_kcl,logreg,"train,val",102,22,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
single_uams,random_forest,"train,val",112,24,26,0.6923076923076923,0.6375,0.6666666666666666,0.4,0.5,0.7124999999999999,0.6923076923076923,0.6375,0.6666666666666666,0.4,0.5,0.7124999999999999
