Scenario,CNN,TransferLearning,DenseNet
single_uams,0.6923076923076923,0.6923076923076923,0.6153846153846154
single_mdvr_kcl,0.7272727272727273,1.0,0.5454545454545454
single_ipvs,0.8571428571428571,0.7142857142857143,0.8571428571428571
cross_uams_to_mdvr_kcl,0.5454545454545454,0.5454545454545454,0.36363636363636365
cross_uams_to_ipvs,0.2857142857142857,0.8571428571428571,0.42857142857142855
cross_mdvr_kcl_to_uams,0.6153846153846154,0.6153846153846154,0.38461538461538464
cross_mdvr_kcl_to_ipvs,0.8571428571428571,1.0,0.7142857142857143
cross_ipvs_to_mdvr_kcl,0.45454545454545453,0.5454545454545454,0.45454545454545453
cross_ipvs_to_uams,0.6153846153846154,0.46153846153846156,0.6923076923076923
combined_all,0.8023255813953488,0.8604651162790697,0.7441860465116279
